ID,Advocate Name,Location,Experience (Years),Specialization,Notable Cases Handled,Fee (INR)
1050,Adv. Varun Gupta,Jodhpur,20,Narcotics Law,Property Disputes,25754
1051,Adv. Sanjana Mishra,Indore,6,Anti-Corruption Law,Business Disputes,34978
1052,Adv. Tanvi Malhotra,Vadodara,16,Railway Law,Passenger Rights,37019
1053,Adv. Nitin Choudhary,Delhi,15,Environmental Law,Cybercrime,39832
1054,Adv. Sanjana Saxena,Surat,14,Constitutional Law,Financial Frauds,30694
1055,Adv. Parth Dixit,Asansol,14,Trademark & Patent Law,Business Disputes,33845
1056,Adv. Deepa Arora,Nagpur,15,Railway Law,Child Crime Cases,30374
1057,Adv. Raghav Arora,Patna,20,Juvenile Law,Parental Rights,43413
1058,Adv. Sunita Jain,Vijayawada,17,Trademark & Patent Law,Fundamental Rights,9125
1059,Adv. Rahul Menon,Meerut,6,Criminal Law,Money Laundering Cases,31133
1060,Adv. Aarav Nair,Agra,5,Business Law,Mutual Divorce,27967
1061,Adv. Akash Vyas,Surat,6,Defamation Law,Slander Cases,5443
1062,Adv. Swati Chauhan,Surat,16,Banking & Finance Law,Player Contracts,43442
1063,Adv. Ishita Kapoor,Ranchi,17,Transportation Law,Air Accidents,30528
1064,Adv. Aarav Jain,Mysore,5,Consumer Protection Law,Copyright Disputes,18170
1065,Adv. Swati Kaur,Siliguri,19,Immigration Law,Juvenile Justice,48477
1066,Adv. Dheeraj Bhatia,Mysore,20,Cyber Crime Law,Fund Mismanagement,21773
1067,Adv. Rohan Kulkarni,Shimla,7,Trademark & Patent Law,Online Fraud,34485
1068,Adv. Mohit Soni,Varanasi,9,Civil Rights Law,Loan Disputes,5957
1069,Adv. Ramesh Sharma,Bareilly,13,Civil Litigation,Retirement Benefits,36640
1070,Adv. Divya Pillai,Vadodara,12,Animal Rights Law,Deforestation Cases,44024
1071,Adv. Priya Agrawal,Amritsar,10,Narcotics Law,Counterfeit Cases,49852
1072,Adv. Rohan Pandey,Indore,11,White Collar Crimes,Bribery,36093
1073,Adv. Alok Das,Nashik,14,Cyber Crime Law,Privacy Issues,11153
1074,Adv. Bhavna Mehta,Vadodara,11,Aviation Law,Government Scandals,49548
1075,Adv. Chetan Verma,Solapur,16,Land & Property Law,ISP Disputes,13659
1076,Adv. Anjali Kulkarni,Agra,9,International Law,Government Scandals,43445
1077,Adv. Anjali Kulkarni,Bhopal,13,Consumer Protection Law,Mergers,40886
1078,Adv. Dheeraj Saxena,Jaipur,19,International Law,Data Breach,33490
1079,Adv. Sunita Mishra,Bhavnagar,13,Elder Law,Sexual Harassment,44536
1080,Adv. Ishita Gupta,Hyderabad,11,Consumer Protection Law,Retirement Benefits,23337
1081,Adv. Ajay Saxena,Pune,14,Defamation Law,Landlord-Tenant Issues,20591
1082,Adv. Nitin Kaur,Jaipur,12,Consumer Protection Law,Asylum Cases,13764
1083,Adv. Neha Bhasin,Noida,19,Employment & Labor Law,Corporate Frauds,39474
1084,Adv. Neha Bhatia,Bareilly,11,Aviation Law,Property Disputes,16973
1085,Adv. Rajeev Chauhan,Jodhpur,15,Trademark & Patent Law,Drug Trafficking,31042
1086,Adv. Neha Vyas,Nagpur,12,Election Law,Poaching Cases,15930
1087,Adv. Priya Deshmukh,Kolkata,19,Banking & Finance Law,Child Crime Cases,20199
1088,Adv. Ishita Soni,Raipur,11,Immigration Law,LGBTQ+ Rights Cases,43468
1089,Adv. Priya Chauhan,Bhopal,5,White Collar Crimes,Drug Trafficking,40871
1090,Adv. Sneha Soni,Varanasi,5,Elder Law,Pollution Violations,6714
1091,Adv. Snehal Chopra,Gwalior,15,Employment & Labor Law,Fundamental Rights,10873
1092,Adv. Nidhi Gupta,Raipur,15,Cyber Law,Parental Rights,14989
1093,Adv. Megha Roy,Lucknow,13,Media & Entertainment Law,Slander Cases,49006
1094,Adv. Ritu Narang,Lucknow,11,Civil Litigation,Fund Mismanagement,41264
1095,Adv. Kiran Kapoor,Thiruvananthapuram,11,Transportation Law,Film Contracts,37521
1096,Adv. Varun Mehta,Nagpur,20,Immigration Law,Online Fraud,38600
1097,Adv. Pooja Iyer,Gorakhpur,9,International Law,Voting Rights,20820
1098,Adv. Anjali Pandey,Bangalore,9,Animal Rights Law,Data Breach,22741
1099,Adv. Sunita Sharma,Solapur,20,Corporate Law,Fundamental Rights,7143
1100,Adv. Rashi Chopra,Patna,19,Charity & NGO Law,Sexual Harassment,44851
1101,Adv. Ritika Saxena,Bareilly,14,Telecommunication Law,Counterfeit Cases,22405
1102,Adv. Sanjana Yadav,Mumbai,20,Civil Litigation,Fraudulent Sales,48882
1103,Adv. Akash Kaur,Allahabad,12,Family Law,Business Disputes,32625
1104,Adv. Raghav Das,Delhi,13,Narcotics Law,GST Fraud,11038
1105,Adv. Akash Jain,Vadodara,6,Transportation Law,Alimony Cases,33432
1106,Adv. Rajeev Gupta,Asansol,5,Defamation Law,NGO Registration,5063
1107,Adv. Alok Deshmukh,Delhi,19,Arbitration & Mediation,Domestic Violence,34149
1108,Adv. Deepa Mishra,Noida,14,Intellectual Property Law,Asylum Cases,24757
1109,Adv. Nidhi Nair,Indore,7,Constitutional Law,Loan Defaults,22433
1110,Adv. Ritu Tiwari,Delhi,13,Immigration Law,Loan Disputes,21835
1111,Adv. Deepa Rana,Allahabad,11,Medical Negligence Law,Juvenile Justice,20363
1112,Adv. Vikram Kapoor,Udaipur,11,White Collar Crimes,Unlawful Detention,27153
1113,Adv. Sandeep Iyer,Shimla,11,Intellectual Property Law,Property Disputes,17135
1114,Adv. Megha Gupta,Gorakhpur,13,Charity & NGO Law,Property Disputes,41397
1115,Adv. Ritu Agrawal,Hyderabad,16,Debt Recovery Law,Parental Rights,32471
1116,Adv. Ritika Patel,Agra,16,Intellectual Property Law,Loan Defaults,17517
1117,Adv. Om Prakash Dixit,Gorakhpur,12,Trademark & Patent Law,Bribery,12252
1118,Adv. Swati Malhotra,Solapur,13,Constitutional Law,Illegal Construction,41722
1119,Adv. Nidhi Roy,Nagpur,8,Employment & Labor Law,Land Grabbing,41762
1120,Adv. Swati Kapoor,Pune,8,Transportation Law,Retirement Benefits,48952
1121,Adv. Sanjana Bhatia,Lucknow,17,Land & Property Law,Bank Frauds,29178
1122,Adv. Aditya Khandelwal,Vijayawada,18,Family Law,Forged Cheques,8322
1123,Adv. Rashi Deshmukh,Kanpur,20,Telecommunication Law,Debt Negotiations,41217
1124,Adv. Divya Patel,Delhi,10,Sports Law,Human Rights Violations,31681
1125,Adv. Snehal Dixit,Indore,12,Public Interest Law,Tax Evasion,30770
1126,Adv. Parth Mishra,Solapur,8,Medical Negligence Law,Juvenile Justice,11366
1127,Adv. Rashi Bhatia,Agra,11,Cyber Law,Money Laundering Cases,48510
1128,Adv. Pooja Kapoor,Hubli,19,Military Law,Human Rights Violations,34583
1129,Adv. Sandeep Reddy,Patna,19,Consumer Protection Law,Land Grabbing,10072
1130,Adv. Arjun Sinha,Patna,15,Trademark & Patent Law,Claim Disputes,27016
1131,Adv. Sanjana Mehta,Kanpur,19,White Collar Crimes,Smuggling Cases,29361
1132,Adv. Snehal Jain,Kanpur,5,Military Law,Government Scandals,5660
1133,Adv. Deepa Malik,Goa,9,Media & Entertainment Law,Passenger Rights,44714
1134,Adv. Yogesh Tiwari,Indore,16,Employment & Labor Law,Court-Martial Cases,37346
1135,Adv. Bhavna Saxena,Amritsar,14,Financial Law,Claim Disputes,21439
1136,Adv. Ramesh Gupta,Hubli,17,Juvenile Law,Workplace Harassment,20596
1137,Adv. Varun Rajput,Goa,15,Intellectual Property Law,RTI Cases,39335
1138,Adv. Tanvi Yadav,Guwahati,9,Railway Law,Financial Frauds,28363
1139,Adv. Ishita Kaur,Chandigarh,5,Election Law,Sexual Harassment,35511
1140,Adv. Pooja Malhotra,Goa,16,Banking Fraud Law,NGO Registration,5325
1141,Adv. Raghav Bhardwaj,Jaipur,19,Gender Rights Law,Patent Infringements,8011
1142,Adv. Neha Saxena,Goa,6,Cyber Crime Law,Loan Disputes,23348
1143,Adv. Simran Chatterjee,Surat,8,Criminal Law,Data Breach,9658
1144,Adv. Neha Chopra,Shimla,14,Telecommunication Law,Land Acquisition,48916
1145,Adv. Varun Rajput,Nagpur,13,Media & Entertainment Law,Data Breach,48159
1146,Adv. Simran Gupta,Amritsar,8,Narcotics Law,Defective Products,11593
1147,Adv. Ajay Mehta,Nashik,15,Criminal Law,Bank Frauds,8914
1148,Adv. Varun Vyas,Gorakhpur,10,Real Estate Law,Privacy Issues,47534
1149,Adv. Ramesh Chopra,Surat,13,Civil Rights Law,Land Acquisition,35106
1150,Adv. Om Prakash Chatterjee,Noida,6,Civil Rights Law,Corporate Frauds,5074
1151,Adv. Deepa Tiwari,Amritsar,13,Narcotics Law,Homicide,44375
1152,Adv. Dheeraj Soni,Hyderabad,16,Real Estate Law,Wrong Diagnosis,39470
1153,Adv. Ramesh Bhardwaj,Hyderabad,18,Aviation Law,PILs,34768
1154,Adv. Aditya Sharma,Bhavnagar,10,Insurance Law,Insider Trading,38124
1155,Adv. Tarun Sen,Agra,12,Banking Fraud Law,Narcotics,38122
1156,Adv. Arjun Sen,Chennai,19,Criminal Law,Corporate Lawsuits,38795
1157,Adv. Divya Jain,Warangal,9,Intellectual Property Law,Juvenile Justice,14839
1158,Adv. Bhavna Jain,Warangal,10,Defamation Law,Parental Rights,38894
1159,Adv. Aditya Vyas,Varanasi,13,Immigration Law,Service Disputes,16141
1160,Adv. Pooja Dixit,Hyderabad,17,Anti-Corruption Law,Contract Breaches,17405
1161,Adv. Veena Gupta,Raipur,12,Aviation Law,Workplace Harassment,11305
1162,Adv. Arjun Saxena,Indore,14,Immigration Law,Landlord-Tenant Issues,5769
1163,Adv. Tarun Kaur,Vadodara,6,Criminal Law,Cybercrime,30041
1164,Adv. Arjun Rajput,Meerut,13,Charity & NGO Law,Dispute Settlements,32792
1165,Adv. Kavita Das,Mysore,6,Civil Rights Law,Fund Mismanagement,25807
1166,Adv. Mohit Chatterjee,Pune,7,Adoption & Surrogacy Law,Bank Frauds,27211
1167,Adv. Yogesh Choudhary,Nagpur,17,Civil Rights Law,Sexual Harassment,44707
1168,Adv. Suraj Bhardwaj,Solapur,20,Insurance Law,Property Disputes,32601
1169,Adv. Snehal Malhotra,Madurai,15,Military Law,Homicide,10452
1170,Adv. Ajay Vyas,Warangal,20,Narcotics Law,Visa Fraud,18393
1171,Adv. Ashwin Kulkarni,Gwalior,10,Public Interest Law,Trademark Infringement,49277
1172,Adv. Dheeraj Sharma,Kolkata,12,White Collar Crimes,Police Brutality,36379
1173,Adv. Kavita Gupta,Ranchi,10,Adoption & Surrogacy Law,Illegal Possession,13613
1174,Adv. Ajay Chopra,Bareilly,20,Narcotics Law,Fraudulent Insurance Claims,6647
1175,Adv. Priya Saxena,Delhi,13,Charity & NGO Law,Land Grabbing,20339
1176,Adv. Sanjana Patel,Coimbatore,6,Family Law,Illegal Construction,38449
1177,Adv. Om Prakash Tiwari,Bhavnagar,13,Environmental Law,Liability Cases,43201
1178,Adv. Divya Narang,Siliguri,7,International Law,Cybercrime,28577
1179,Adv. Aditya Dixit,Gwalior,12,Taxation Law,Fundamental Rights,49962
1180,Adv. Arjun Rajput,Coimbatore,14,Narcotics Law,Mergers,22864
1181,Adv. Dheeraj Bhasin,Asansol,20,Animal Rights Law,Income Tax Disputes,34764
1182,Adv. Sneha Verma,Bhavnagar,16,Banking & Finance Law,Workplace Harassment,47939
1183,Adv. Kavita Reddy,Shimla,20,Immigration Law,Corporate Frauds,47115
1184,Adv. Suraj Chauhan,Bhopal,10,Employment & Labor Law,Child Custody,44087
1185,Adv. Swati Bhatia,Pune,17,Employment & Labor Law,Fraudulent Sales,25609
1186,Adv. Vikram Gupta,Guwahati,9,Banking Fraud Law,Mergers,37439
1187,Adv. Sunita Chopra,Hubli,9,Railway Law,Breach of Contracts,15689
1188,Adv. Priya Mishra,Gorakhpur,20,International Law,Unlawful Termination,18306
1189,Adv. Dheeraj Arora,Solapur,5,Election Law,Trademark Infringement,8939
1190,Adv. Tarun Vyas,Coimbatore,17,Banking & Finance Law,Tax Evasion,37745
1191,Adv. Sanjana Yadav,Varanasi,13,Charity & NGO Law,Patent Infringements,18242
1192,Adv. Veena Nair,Surat,15,Immigration Law,Data Breach,30593
1193,Adv. Simran Rajput,Indore,17,Anti-Corruption Law,Trademark Infringement,37946
1194,Adv. Arjun Jain,Gorakhpur,15,Anti-Corruption Law,Fraudulent Insurance Claims,10781
1195,Adv. Neha Reddy,Guwahati,6,Debt Recovery Law,Poaching Cases,8864
1196,Adv. Om Prakash Sharma,Vijayawada,20,Arbitration & Mediation,Trademark Infringement,17913
1197,Adv. Arjun Patel,Jaipur,7,Adoption & Surrogacy Law,Liability Cases,47382
1198,Adv. Yogesh Menon,Indore,7,Cyber Crime Law,Bank Fraud,18611
1199,Adv. Megha Agrawal,Vijayawada,7,Railway Law,Fund Mismanagement,6579
1200,Adv. Ishita Chauhan,Gwalior,10,Family Law,NGO Registration,38315
1201,Adv. Rahul Jain,Amritsar,9,Real Estate Law,Poaching Cases,17406
1202,Adv. Ritika Choudhary,Chandigarh,6,Anti-Corruption Law,Online Harassment,12732
1203,Adv. Parth Soni,Bhavnagar,16,Public Interest Law,Claim Disputes,49896
1204,Adv. Tanvi Gupta,Indore,5,Aviation Law,Counterfeit Cases,18727
1205,Adv. Ishita Gupta,Ranchi,13,Constitutional Law,Tax Evasion,26300
1206,Adv. Arjun Rajput,Lucknow,6,White Collar Crimes,Privacy Issues,35254
1207,Adv. Arjun Sen,Vadodara,12,Animal Rights Law,Corporate Lawsuits,49328
1208,Adv. Yogesh Agrawal,Hubli,12,Adoption & Surrogacy Law,Player Contracts,45268
1209,Adv. Rajeev Narang,Chandigarh,7,Immigration Law,Online Fraud,41954
1210,Adv. Ritika Arora,Lucknow,17,Narcotics Law,RTI Cases,6491
1211,Adv. Divya Das,Mysore,11,Elder Law,Hacking,47276
1212,Adv. Varun Tiwari,Udaipur,16,Elder Law,Mutual Divorce,45165
1213,Adv. Simran Kulkarni,Kanpur,19,Immigration Law,LGBTQ+ Rights Cases,28089
1214,Adv. Rajeev Saxena,Nashik,19,Constitutional Law,Divorce,30976
1215,Adv. Nidhi Mishra,Delhi,8,Charity & NGO Law,GST Fraud,8060
1216,Adv. Sanjana Soni,Shimla,17,Public Interest Law,Fundamental Rights,35427
1217,Adv. Dheeraj Bhatia,Nagpur,16,Taxation Law,Fundamental Rights,35923
1218,Adv. Kavita Yadav,Noida,17,Sports Law,ISP Disputes,27315
1219,Adv. Chetan Chauhan,Bangalore,10,Environmental Law,Child Custody,49809
1220,Adv. Rashi Iyer,Amritsar,10,International Law,Income Tax Disputes,43199
1221,Adv. Yogesh Chopra,Mumbai,19,Election Law,Passenger Rights,12540
1222,Adv. Rohan Bhasin,Vadodara,9,Adoption & Surrogacy Law,Counterfeit Cases,39092
1223,Adv. Priya Bhardwaj,Jaipur,10,Telecommunication Law,Deforestation Cases,22987
1224,Adv. Veena Bhasin,Pune,8,Human Rights Law,Wrong Diagnosis,43146
1225,Adv. Yogesh Rana,Bhavnagar,8,Animal Rights Law,Animal Cruelty,41496
1226,Adv. Alok Das,Nagpur,10,Animal Rights Law,Film Contracts,38866
1227,Adv. Swati Pandey,Indore,11,Trademark & Patent Law,Homicide,20615
1228,Adv. Ashwin Saxena,Allahabad,11,Cyber Law,LGBTQ+ Rights Cases,34108
1229,Adv. Sneha Deshmukh,Jaipur,16,Animal Rights Law,Privacy Issues,18948
1230,Adv. Suraj Soni,Patna,14,Juvenile Law,Bank Frauds,15234
1231,Adv. Sandeep Verma,Patna,9,Railway Law,Defamation,28991
1232,Adv. Aarav Joshi,Asansol,10,Taxation Law,Liability Cases,49373
1233,Adv. Chetan Deshmukh,Shimla,11,Human Rights Law,Juvenile Justice,22129
1234,Adv. Aarav Verma,Goa,17,Criminal Law,Slander Cases,46028
1235,Adv. Ajay Pandey,Madurai,5,Anti-Corruption Law,Illegal Construction,9570
1236,Adv. Kiran Kulkarni,Jodhpur,7,Criminal Law,Eviction Cases,7193
1237,Adv. Bhavna Menon,Bareilly,12,Corporate Law,Fraudulent Insurance Claims,18243
1238,Adv. Anjali Yadav,Coimbatore,15,Juvenile Law,Juvenile Justice,42083
1239,Adv. Varun Sharma,Bhavnagar,12,Adoption & Surrogacy Law,Trademark Infringement,36792
1240,Adv. Ashwin Reddy,Udaipur,14,Consumer Protection Law,Fraudulent Sales,16149
1241,Adv. Sunita Pandey,Coimbatore,7,Banking Fraud Law,Child Custody,49773
1242,Adv. Vikram Saxena,Patna,17,Sports Law,Player Contracts,10280
1243,Adv. Rahul Patel,Asansol,6,Election Law,Breach of Contracts,41930
1244,Adv. Snehal Iyer,Vadodara,14,Narcotics Law,Unlawful Termination,16370
1245,Adv. Deepa Kaur,Amritsar,9,Business Law,Passenger Rights,7435
1246,Adv. Bhavna Dixit,Goa,8,Adoption & Surrogacy Law,Slander Cases,8561
1247,Adv. Sanjana Reddy,Bareilly,16,White Collar Crimes,Rent Disputes,29044
1248,Adv. Ritika Pandey,Goa,17,Real Estate Law,Libel,43266
1249,Adv. Divya Jain,Ranchi,17,Defamation Law,Illegal Construction,14096
1250,Adv. Sandeep Pandey,Nagpur,18,Corporate Law,LGBTQ+ Rights Cases,14116
1251,Adv. Kiran Mehta,Kolkata,15,Criminal Law,Child Crime Cases,36572
1252,Adv. Tarun Chopra,Noida,17,Human Rights Law,Deforestation Cases,39879
1253,Adv. Megha Kapoor,Vijayawada,15,Civil Litigation,Copyright Disputes,46889
1254,Adv. Om Prakash Sharma,Chennai,9,Elder Law,Loan Disputes,28893
1255,Adv. Chetan Narang,Vijayawada,18,International Law,Defective Products,26071
1256,Adv. Nitin Malik,Indore,20,Election Law,Electoral Malpractices,11281
1257,Adv. Parth Khandelwal,Mysore,20,Sports Law,Deforestation Cases,34123
1258,Adv. Sandeep Saxena,Jaipur,5,Consumer Protection Law,Passenger Rights,29109
1259,Adv. Manish Roy,Kolkata,18,Animal Rights Law,Animal Cruelty,33516
1260,Adv. Sanjana Khandelwal,Varanasi,14,Adoption & Surrogacy Law,Mutual Divorce,49260
1261,Adv. Rashi Choudhary,Vadodara,15,Trademark & Patent Law,Business Disputes,29057
1262,Adv. Raghav Mishra,Pune,10,Public Interest Law,Service Disputes,10287
1263,Adv. Nitin Vyas,Amritsar,16,Debt Recovery Law,Patent Infringements,23510
1264,Adv. Raghav Vyas,Mumbai,18,Adoption & Surrogacy Law,Cybercrime,43917
1265,Adv. Rashi Patel,Guwahati,10,Arbitration & Mediation,Money Laundering,28140
1266,Adv. Sandeep Joshi,Vadodara,14,Elder Law,Privacy Issues,46095
1267,Adv. Aarav Rajput,Varanasi,5,Military Law,GST Fraud,8688
1268,Adv. Mohit Kulkarni,Madurai,14,Immigration Law,Corporate Lawsuits,48715
1269,Adv. Snehal Jain,Hyderabad,10,Banking & Finance Law,Breach of Contracts,6815
1270,Adv. Aarav Dixit,Shimla,17,Financial Law,Government Accountability,24535
1271,Adv. Aditya Yadav,Guwahati,20,Financial Law,Property Disputes,38544
1272,Adv. Mohit Rana,Ahmedabad,12,White Collar Crimes,Slander Cases,41900
1273,Adv. Divya Rana,Bhopal,19,Taxation Law,Insider Trading,26594
1274,Adv. Yogesh Kapoor,Jodhpur,11,White Collar Crimes,Visa Fraud,31779
1275,Adv. Ajay Iyer,Mysore,18,Banking & Finance Law,Slander Cases,30503
1276,Adv. Dheeraj Kaur,Ranchi,15,Trademark & Patent Law,Land Grabbing,32484
1277,Adv. Arjun Chatterjee,Delhi,14,Transportation Law,Bank Frauds,11170
1278,Adv. Raghav Patel,Surat,18,Narcotics Law,Child Crime Cases,32159
1279,Adv. Devansh Tiwari,Jaipur,19,Arbitration & Mediation,Custody Cases,20529
1280,Adv. Nidhi Tiwari,Chennai,7,Employment & Labor Law,Fund Mismanagement,43066
1281,Adv. Nitin Khanna,Lucknow,13,Media & Entertainment Law,Counterfeit Cases,35073
1282,Adv. Veena Mishra,Lucknow,15,Telecommunication Law,PILs,18670
1283,Adv. Pooja Sharma,Kolkata,13,Consumer Protection Law,GST Fraud,37187
1284,Adv. Simran Khandelwal,Allahabad,7,International Law,Defective Products,13772
1285,Adv. Veena Kaur,Nagpur,12,Defamation Law,Money Laundering Cases,7330
1286,Adv. Mohit Reddy,Nashik,15,Insurance Law,Voting Rights,31108
1287,Adv. Deepa Pillai,Vadodara,16,Criminal Law,Poaching Cases,6215
1288,Adv. Deepa Joshi,Jodhpur,13,Juvenile Law,Unlawful Termination,44777
1289,Adv. Pooja Gupta,Mysore,6,Aviation Law,Corporate Frauds,45225
1290,Adv. Rajeev Dixit,Ahmedabad,8,International Law,Illegal Construction,11540
1291,Adv. Rahul Chauhan,Gwalior,12,Banking Fraud Law,Malpractice,38954
1292,Adv. Rahul Bhasin,Bhavnagar,14,Immigration Law,Loan Defaults,17326
1293,Adv. Rashi Reddy,Patna,16,Public Interest Law,Service Disputes,41848
1294,Adv. Mohit Arora,Hyderabad,5,Aviation Law,Government Accountability,18499
1295,Adv. Ajay Bhardwaj,Goa,5,Gender Rights Law,Land Acquisition,29121
1296,Adv. Manish Malhotra,Vijayawada,5,Transportation Law,Patent Infringements,36069
1297,Adv. Rashi Verma,Nagpur,12,Trademark & Patent Law,Insider Trading,27004
1298,Adv. Varun Agrawal,Guwahati,17,Insurance Law,Retirement Benefits,24465
1299,Adv. Anjali Bhatia,Allahabad,5,Arbitration & Mediation,Data Breach,16519
1300,Adv. Snehal Chauhan,Goa,13,Narcotics Law,Loan Defaults,28259
1301,Adv. Megha Roy,Delhi,8,Intellectual Property Law,Road Accidents,32833
1302,Adv. Nidhi Mishra,Guwahati,10,Election Law,Tax Evasion,6604
1303,Adv. Parth Mishra,Jodhpur,12,Constitutional Law,Bank Frauds,16305
1304,Adv. Ashwin Pillai,Warangal,18,Railway Law,Debt Negotiations,20680
1305,Adv. Om Prakash Iyer,Kolkata,16,Consumer Protection Law,Bank Frauds,37529
1306,Adv. Mohit Verma,Varanasi,5,Criminal Law,Fraudulent Insurance Claims,11190
1307,Adv. Ashwin Choudhary,Nagpur,12,Gender Rights Law,Property Disputes,11822
1308,Adv. Tarun Verma,Delhi,6,Adoption & Surrogacy Law,Copyright Disputes,25113
1309,Adv. Sandeep Nair,Agra,15,Corporate Law,Passenger Rights,12757
1310,Adv. Nidhi Patel,Jaipur,17,Human Rights Law,Land Acquisition,47275
1311,Adv. Alok Iyer,Surat,15,Trademark & Patent Law,Juvenile Justice,11482
1312,Adv. Aarav Mishra,Gorakhpur,19,Banking & Finance Law,Doping Cases,5509
1313,Adv. Kunal Saxena,Indore,11,Cyber Law,Fraudulent Insurance Claims,45310
1314,Adv. Rajeev Malik,Nashik,18,Juvenile Law,Service Disputes,13174
1315,Adv. Tanvi Dixit,Ahmedabad,18,Constitutional Law,Fundamental Rights,43345
1316,Adv. Suraj Chauhan,Nashik,9,Public Interest Law,Passenger Rights,48255
1317,Adv. Alok Kapoor,Madurai,13,Charity & NGO Law,ISP Disputes,21487
1318,Adv. Neha Jain,Madurai,18,Consumer Protection Law,NGO Registration,48598
1319,Adv. Rohan Roy,Vadodara,19,Trademark & Patent Law,Bribery,15813
1320,Adv. Suraj Khanna,Asansol,17,International Law,Deforestation Cases,45297
1321,Adv. Om Prakash Sharma,Meerut,15,Corporate Law,Unlawful Termination,36557
1322,Adv. Akash Sinha,Bhavnagar,5,Civil Rights Law,Patent Infringements,16668
1323,Adv. Divya Chatterjee,Varanasi,16,Trademark & Patent Law,Train Accidents,47608
1324,Adv. Neha Sharma,Guwahati,8,Business Law,Insider Trading,46033
1325,Adv. Megha Rajput,Varanasi,12,Charity & NGO Law,Illegal Possession,49389
1326,Adv. Chetan Sen,Agra,11,Telecommunication Law,Insider Trading,19357
1327,Adv. Aditya Jain,Thiruvananthapuram,13,Banking & Finance Law,Animal Cruelty,47056
1328,Adv. Arjun Joshi,Shimla,13,Trademark & Patent Law,Eviction Cases,26032
1329,Adv. Akash Bhatia,Siliguri,19,Adoption & Surrogacy Law,Debt Negotiations,35008
1330,Adv. Kavita Joshi,Coimbatore,6,Anti-Corruption Law,Illegal Construction,47809
1331,Adv. Manish Kaur,Chandigarh,16,Arbitration & Mediation,Unlawful Termination,29651
1332,Adv. Suraj Tiwari,Indore,10,Consumer Protection Law,Defamation,37893
1333,Adv. Bhavna Iyer,Surat,18,Immigration Law,Asylum Cases,49138
1334,Adv. Snehal Pillai,Vijayawada,12,Cyber Law,GST Fraud,18450
1335,Adv. Rohan Kapoor,Chennai,9,International Law,Visa Fraud,20542
